GeneID,Symbol
10153,CEBPZ
1616,DAXX
2959,GTF2B
23013,SPEN
7342,UBP1
9584,RBM39
2071,ERCC3
57109,REXO4
10919,EHMT2
2000,ELF4
4780,NFE2L2
6772,STAT1
9112,MTA1
84444,DOT1L
10616,RBCK1
4176,MCM7
10765,KDM5B
11319,ECD
6239,RREB1
25909,AHCTF1
7073,TIAL1
6949,TCOF1
2969,GTF2I
84164,ASCC2
2274,FHL2
7586,ZKSCAN1
57727,NCOA5
6907,TBL1X
10847,SRCAP
1997,ELF1
4007,PRICKLE3
10284,SAP18
7551,ZNF3
571,BACH1
83746,L3MBTL2
3149,HMGB3
2114,ETS2
9923,ZBTB40
27332,ZNF638
129138,ANKRD54
7975,MAFK
9878,TOX4
23469,PHF3
7988,ZNF212
9839,ZEB2
29079,MED4
5993,RFX5
57117,INTS12
27125,AFF4
55904,MLL5
8517,IKBKG
7128,TNFAIP3
22887,FOXJ3
9968,MED12
54815,GATAD2A
2119,ETV5
8548,BLZF1
6045,RNF2
57645,POGK
7469,WHSC2
7158,TP53BP1
55929,DMAP1
861,RUNX1
51230,PHF20
4802,NFYC
9208,LRRFIP1
4221,MEN1
26039,SS18L1
51193,ZNF639
7629,ZNF76
5316,PKNOX1
9278,ZBTB22
56259,CTNNBL1
3218,HOXB8
6596,HLTF
84874,ZNF514
79027,ZNF655
8295,TRRAP
9612,NCOR2
84626,KRBA1
4084,MXD1
6605,SMARCE1
7005,TEAD3
467,ATF3
4204,MECP2
6595,SMARCA2
84172,POLR1B
8204,NRIP1
6908,TBP
27154,BRPF3
7748,ZNF195
2960,GTF2E1
55729,ATF7IP
26009,ZZZ3
85363,TRIM5
6919,TCEA2
4664,NAB1
10401,PIAS3
6672,SP100
3104,ZBTB48
7702,ZNF143
3622,ING2
171017,ZNF384
7862,BRPF1
1998,ELF2
11169,WDHD1
3344,FOXN2
22933,SIRT2
10168,ZNF197
79723,SUV39H2
4610,MYCL1
55139,ANKZF1
3659,IRF1
51114,ZDHHC9
7799,PRDM2
10062,NR1H3
25897,RNF19A
8462,KLF11
6872,TAF1
10042,HMGXB4
51773,RSF1
7755,ZNF205
55320,MIS18BP1
126070,ZNF440
672,BRCA1
5325,PLAGL1
79366,HMGN5
51742,ARID4B
4601,MXI1
9689,BZW1
4899,NRF1
197407,ZNF48
7707,ZNF148
130557,ZNF513
55193,PBRM1
11179,ZNF277
2034,EPAS1
254394,MCM9
7182,NR2C2
4286,MITF
64412,GZF1
5914,RARA
51427,ZNF107
3110,MNX1
6498,SKIL
84287,ZDHHC16
57504,MTA3
4209,MEF2D
56987,BBX
57332,CBX8
91661,ZNF765
3096,HIVEP1
23133,PHF8
10691,GMEB1
23764,MAFF
1161,ERCC8
23036,ZNF292
604,BCL6
1385,CREB1
602,BCL3
23492,CBX7
64288,ZNF323
7543,ZFX
6619,SNAPC3
2115,ETV1
9726,ZNF646
5926,ARID4A
9015,TAF1A
58508,MLL3
10362,HMG20B
7589,ZSCAN21
4297,MLL
5378,PMS1
9139,CBFA2T2
22954,TRIM32
580,BARD1
57209,ZNF248
79800,ALS2CR8
6936,GCFC2
9767,PHF16
64332,NFKBIZ
7692,ZNF133
29994,BAZ2B
23099,ZBTB43
49854,ZNF295
7695,ZNF136
6604,SMARCD3
55734,ZFP64
7701,ZNF142
3428,IFI16
2355,FOSL2
6671,SP4
3431,SP110
7592,ZNF41
7068,THRB
3142,HLX
5080,PAX6
79885,HDAC11
22869,ZNF510
26013,L3MBTL1
5451,POU2F1
1831,TSC22D3
51460,SFMBT1
57585,CRAMP1L
9759,HDAC4
2122,MECOM
5465,PPARA
4211,MEIS1
60468,BACH2
6594,SMARCA1
643641,ZNF862
8864,PER2
163059,ZNF433
6935,ZEB1
57474,ZNF490
7227,TRPS1
23051,ZHX3
4435,CITED1
4929,NR4A2
11281,POU6F2
7942,TFEB
7568,ZNF20
126231,ZNF573
79973,ZNF442
8193,DPF1
7559,ZNF12
2494,NR5A2
8820,HESX1
79816,TLE6
84924,ZNF566
57547,ZNF624
7008,TEF
1999,ELF3
84765,ZNF577
55534,MAML3
9586,CREB5
165,AEBP1
142685,ASB15
2116,ETV2
8626,TP63
7020,TFAP2A
80237,ELL3
3664,IRF6
221895,JAZF1
126069,ZNF491
639,PRDM1
163051,ZNF709
11077,HSF2BP
5915,RARB
10346,TRIM22
83439,TCF7L1
91392,ZNF502
9314,KLF4
56311,ANKRD7
22807,IKZF2
22881,ANKRD6
8609,KLF7
169792,GLIS3
26137,ZBTB20
90594,ZNF439
6304,SATB1
118738,ZNF488
85446,ZFHX2
5468,PPARG
25937,WWTR1
3899,AFF3
4862,NPAS2
676,BRDT
121551,BTBD11
56911,C21orf7
23316,CUX2
58524,DMRT3
29947,DNMT3L
1993,ELAVL2
2104,ESRRG
2139,EYA2
9457,FHL5
93986,FOXP2
2736,GLI2
2737,GLI3
11036,GTF2A1L
139324,HDX
3232,HOXD3
3663,IRF5
8284,KDM5D
283078,MKX
4808,NHLH2
7101,NR2E1
2516,NR5A1
10215,OLIG2
5076,PAX2
5077,PAX3
112885,PHF21B
63978,PRDM14
5629,PROX1
6322,SCML1
6663,SOX10
23626,SPO11
6775,STAT4
6862,T
10716,TBR1
7021,TFAP2B
7022,TFAP2C
3196,TLX2
51442,VGLL1
7544,ZFY
57336,ZNF287
374900,ZNF568
51130,ASB3
1050,CEBPA
91612,CHURC1
1523,CUX1
26582,DUX3
22947,DUX4
1961,EGR4
2297,FOXD1
2738,GLI4
8339,HIST1H2BG
8970,HIST1H2BJ
22993,HMGXB3
3206,HOXA10
51402,HSFX1
9969,MED13
4207,MEF2B
136647,MPLKIP
4603,MYBL1
26257,NKX2-8
134187,POU5F2
56342,PPAN
57786,RBAK
27164,SALL3
4090,SMAD5
65124,SOWAHC
138474,TAF1L
57057,TBX20
339488,TFAP2E
127557,ZBTB8A
7771,ZFP112
92379,ZFP62
23619,ZIM2
7556,ZNF10
7670,ZNF117
7730,ZNF177
7741,ZNF187
7638,ZNF221
7768,ZNF225
10780,ZNF234
56242,ZNF253
10778,ZNF271
284349,ZNF283
7558,ZNF33B
25850,ZNF345
59348,ZNF350
9668,ZNF432
90649,ZNF486
162972,ZNF550
163050,ZNF564
147660,ZNF578
92285,ZNF585B
84914,ZNF587
81931,ZNF93
,
1982,totalTFsinlist
"""BRC""count",
"""NOBAC""count",
"""LowFPKMinK562""",
#REF!,TFswithBACsandFPKM>1(K562)
#REF!,BACscomplete
#REF!,BACspending
#REF!,TFsoutstanding
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
